"Vertical Axis: Hits/s - Clicks/s","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"10.2699999930337","1.85669213605277",""
"20.5390004441142","1.94760989751589",""
"30.7870004558936","1.95167852794413",""
"41.0820003133267","1.84564958778631",""
"51.3719999464229","1.84625309832851",""
"61.6600004956126","1.5553909973483",""
"71.9480004161596","1.84668304719887",""
"82.2770004160702","1.74266638063702",""
"92.5800003809854","1.84407619493784",""
"102.872999897227","1.94318243381734",""
