"Vertical Axis: Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"10.2699999930337","11.164565",""
"20.5390004441142","3.123065",""
"30.7870004558936","2.23112105263158",""
"41.0820003133267","2.333515",""
"51.3719999464229","2.19543",""
"61.6600004956126","2.36273684210526",""
"71.9480004161596","2.32281111111111",""
"82.2770004160702","3.07784444444445",""
"92.5800003809854","2.71462777777778",""
"102.872999897227","2.45809444444445",""
